Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6
2460,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
2470,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
2480,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
2490,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
2500,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
2510,-835.9152,1.977809e-08,0.05014579,0.6882936,0.9020146,0.9185837,0.6769141,0.5178441
2520,-835.9152,1.977809e-08,0.05014579,0.6882936,0.9020146,0.9185837,0.6769141,0.5178441
2530,-835.9152,1.977809e-08,0.05014579,0.6882936,0.9020146,0.9185837,0.6769141,0.5178441
2540,-835.9152,1.977809e-08,0.05014579,0.6882936,0.9020146,0.9185837,0.6769141,0.5178441
2550,-835.9152,1.977809e-08,0.05014579,0.6882936,0.9020146,0.9185837,0.6769141,0.5178441
2560,-835.9152,1.977809e-08,0.05014579,0.6882936,0.9020146,0.9185837,0.6769141,0.5178441
2570,-835.9152,1.977809e-08,0.05014579,0.6882936,0.9020146,0.9185837,0.6769141,0.5178441
2580,-835.9152,1.977809e-08,0.05014579,0.6882936,0.9020146,0.9185837,0.6769141,0.5178441
2590,-835.9152,1.977809e-08,0.05014579,0.6882936,0.9020146,0.9185837,0.6769141,0.5178441
2600,-835.9152,1.977809e-08,0.05014579,0.6882936,0.9020146,0.9185837,0.6769141,0.5178441
2610,-835.9152,1.977809e-08,0.05014579,0.6882936,0.9020146,0.9185837,0.6769141,0.5178441
2620,-835.9152,1.977809e-08,0.05014579,0.6882936,0.9020146,0.9185837,0.6769141,0.5178441
2630,-835.9152,1.977809e-08,0.05014579,0.6882936,0.9020146,0.9185837,0.6769141,0.5178441
