Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7,vecEff8,vecEff9,vecEff10,vecEff11
1210,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1220,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1230,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1240,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1250,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1260,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1270,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1280,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1290,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1300,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1310,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1320,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1330,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1340,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1350,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1360,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1370,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1380,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1390,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1400,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1410,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1420,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1430,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1440,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1450,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1460,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1470,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1480,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1490,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
1500,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
