Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5
2300,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2310,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2320,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2330,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2340,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2350,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2360,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2370,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2380,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2390,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2400,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2410,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2420,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2430,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2440,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2450,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2460,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2470,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2480,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2490,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2500,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2510,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2520,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2530,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2540,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2550,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2560,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2570,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2580,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2590,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2600,-609.4152,3.987959e-07,0.008602402,0.4291241,0.7813972,0.7980527,0.5684529
2610,-611.5376,3.986136e-07,0.0366732,0.4641513,0.7839115,0.8233504,0.5659423
2620,-611.5376,3.986136e-07,0.0366732,0.4641513,0.7839115,0.8233504,0.5659423
2630,-611.5376,3.986136e-07,0.0366732,0.4641513,0.7839115,0.8233504,0.5659423
2640,-611.5376,3.986136e-07,0.0366732,0.4641513,0.7839115,0.8233504,0.5659423
2650,-611.5376,3.986136e-07,0.0366732,0.4641513,0.7839115,0.8233504,0.5659423
2660,-610.3455,3.983782e-07,0.05168651,0.5155302,0.7464823,0.8222749,0.5853654
2670,-610.3455,3.983782e-07,0.05168651,0.5155302,0.7464823,0.8222749,0.5853654
2680,-607.9181,3.980746e-07,0.06003645,0.5349,0.7557498,0.8555502,0.5725321
2690,-607.9181,3.980746e-07,0.06003645,0.5349,0.7557498,0.8555502,0.5725321
2700,-607.9181,3.980746e-07,0.06003645,0.5349,0.7557498,0.8555502,0.5725321
2710,-603.8274,3.981429e-07,0.06201564,0.4847478,0.7624761,0.8250988,0.5663254
2720,-603.8274,3.981429e-07,0.06201564,0.4847478,0.7624761,0.8250988,0.5663254
2730,-603.8274,3.981429e-07,0.06201564,0.4847478,0.7624761,0.8250988,0.5663254
2740,-603.8274,3.981429e-07,0.06201564,0.4847478,0.7624761,0.8250988,0.5663254
