Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7
1800,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1810,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1820,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1830,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1840,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1850,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1860,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1870,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1880,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1890,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1900,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1910,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1920,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1930,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1940,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1950,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1960,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1970,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1980,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
1990,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
2000,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
2010,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
2020,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
2030,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
2040,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
2050,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
2060,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
2070,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
2080,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
2090,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
2100,-562.6263,9.660068e-08,0.7168542,0.8129813,0.6819923,0.5230567,0.623447,0.6607792,0.7713839
