Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7,vecEff8,vecEff9
1710,-2210.875,1.475801e-08,0.3572768,0.653414,0.5703244,0.9737775,0.8895798,0.82161,0.5741006,0.4879296,0.7646281
1720,-2210.875,1.475801e-08,0.3572768,0.653414,0.5703244,0.9737775,0.8895798,0.82161,0.5741006,0.4879296,0.7646281
1730,-2210.875,1.475801e-08,0.3572768,0.653414,0.5703244,0.9737775,0.8895798,0.82161,0.5741006,0.4879296,0.7646281
1740,-2210.875,1.475801e-08,0.3572768,0.653414,0.5703244,0.9737775,0.8895798,0.82161,0.5741006,0.4879296,0.7646281
1750,-2210.875,1.475801e-08,0.3572768,0.653414,0.5703244,0.9737775,0.8895798,0.82161,0.5741006,0.4879296,0.7646281
1760,-2210.875,1.475801e-08,0.3572768,0.653414,0.5703244,0.9737775,0.8895798,0.82161,0.5741006,0.4879296,0.7646281
1770,-2210.875,1.475801e-08,0.3572768,0.653414,0.5703244,0.9737775,0.8895798,0.82161,0.5741006,0.4879296,0.7646281
1780,-2210.875,1.475801e-08,0.3572768,0.653414,0.5703244,0.9737775,0.8895798,0.82161,0.5741006,0.4879296,0.7646281
1790,-2210.875,1.475801e-08,0.3572768,0.653414,0.5703244,0.9737775,0.8895798,0.82161,0.5741006,0.4879296,0.7646281
1800,-2210.875,1.475801e-08,0.3572768,0.653414,0.5703244,0.9737775,0.8895798,0.82161,0.5741006,0.4879296,0.7646281
1810,-2210.875,1.475801e-08,0.3572768,0.653414,0.5703244,0.9737775,0.8895798,0.82161,0.5741006,0.4879296,0.7646281
1820,-2210.875,1.475801e-08,0.3572768,0.653414,0.5703244,0.9737775,0.8895798,0.82161,0.5741006,0.4879296,0.7646281
1830,-2210.875,1.475801e-08,0.3572768,0.653414,0.5703244,0.9737775,0.8895798,0.82161,0.5741006,0.4879296,0.7646281
1840,-2210.875,1.475801e-08,0.3572768,0.653414,0.5703244,0.9737775,0.8895798,0.82161,0.5741006,0.4879296,0.7646281
1850,-2210.875,1.475801e-08,0.3572768,0.653414,0.5703244,0.9737775,0.8895798,0.82161,0.5741006,0.4879296,0.7646281
1860,-2210.875,1.475801e-08,0.3572768,0.653414,0.5703244,0.9737775,0.8895798,0.82161,0.5741006,0.4879296,0.7646281
1870,-2210.875,1.475801e-08,0.3572768,0.653414,0.5703244,0.9737775,0.8895798,0.82161,0.5741006,0.4879296,0.7646281
1880,-2210.875,1.475801e-08,0.3572768,0.653414,0.5703244,0.9737775,0.8895798,0.82161,0.5741006,0.4879296,0.7646281
1890,-2210.875,1.475801e-08,0.3572768,0.653414,0.5703244,0.9737775,0.8895798,0.82161,0.5741006,0.4879296,0.7646281
1900,-2210.875,1.475801e-08,0.3572768,0.653414,0.5703244,0.9737775,0.8895798,0.82161,0.5741006,0.4879296,0.7646281
1910,-2210.875,1.475801e-08,0.3572768,0.653414,0.5703244,0.9737775,0.8895798,0.82161,0.5741006,0.4879296,0.7646281
1920,-2210.875,1.475801e-08,0.3572768,0.653414,0.5703244,0.9737775,0.8895798,0.82161,0.5741006,0.4879296,0.7646281
1930,-2210.875,1.475801e-08,0.3572768,0.653414,0.5703244,0.9737775,0.8895798,0.82161,0.5741006,0.4879296,0.7646281
1940,-2210.875,1.475801e-08,0.3572768,0.653414,0.5703244,0.9737775,0.8895798,0.82161,0.5741006,0.4879296,0.7646281
1950,-2210.875,1.475801e-08,0.3572768,0.653414,0.5703244,0.9737775,0.8895798,0.82161,0.5741006,0.4879296,0.7646281
1960,-2210.875,1.475801e-08,0.3572768,0.653414,0.5703244,0.9737775,0.8895798,0.82161,0.5741006,0.4879296,0.7646281
1970,-2210.875,1.475801e-08,0.3572768,0.653414,0.5703244,0.9737775,0.8895798,0.82161,0.5741006,0.4879296,0.7646281
1980,-2210.875,1.475801e-08,0.3572768,0.653414,0.5703244,0.9737775,0.8895798,0.82161,0.5741006,0.4879296,0.7646281
